anio_mes,municipio_residencia,grupo_diagnostico,genero_paciente,regimen_atencion,rango_edad,total_casos
2024-01,DOSQUEBRADAS,Otros Sintomas Y Signos Que Involucran La Funcion Cognoscitiva Y La Conciencia,MASCULINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,Otros Trastornos Articulares No Clasificadas En Otra Parte,FEMENINO,SUBSIDIADO,60+,1
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,FEMENINO,CONTRIBUTIVO,12-17,2
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,FEMENINO,CONTRIBUTIVO,18-28,1
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,FEMENINO,CONTRIBUTIVO,29-59,6
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,FEMENINO,CONTRIBUTIVO,60+,1
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,FEMENINO,OTRO,18-28,1
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,FEMENINO,OTRO,29-59,1
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,12-17,7
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,18-28,4
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,29-59,16
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,60+,13
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,MASCULINO,CONTRIBUTIVO,29-59,1
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,MASCULINO,SUBSIDIADO,12-17,1
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,MASCULINO,SUBSIDIADO,18-28,1
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,MASCULINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,Otros Trastornos De Ansiedad,MASCULINO,SUBSIDIADO,60+,3
2024-01,DOSQUEBRADAS,Otros Trastornos Degenerativos Del Sistema Nervioso En Enfermedades Clasificadas En Otra Parte,FEMENINO,SUBSIDIADO,60+,1
2024-01,DOSQUEBRADAS,Otros Trastornos Del Humor [ Afectivos ],FEMENINO,SUBSIDIADO,60+,1
2024-01,DOSQUEBRADAS,Otros Trastornos Emocionales Y Del Comportamiento Que Aparecen Habitualmente En La Ninez Y En La Adolescencia,FEMENINO,SUBSIDIADO,12-17,7
2024-01,DOSQUEBRADAS,Otros Trastornos Emocionales Y Del Comportamiento Que Aparecen Habitualmente En La Ninez Y En La Adolescencia,FEMENINO,SUBSIDIADO,6-11,1
2024-01,DOSQUEBRADAS,Otros Trastornos Emocionales Y Del Comportamiento Que Aparecen Habitualmente En La Ninez Y En La Adolescencia,MASCULINO,SUBSIDIADO,0-5,1
2024-01,DOSQUEBRADAS,Otros Trastornos Emocionales Y Del Comportamiento Que Aparecen Habitualmente En La Ninez Y En La Adolescencia,MASCULINO,SUBSIDIADO,12-17,2
2024-01,DOSQUEBRADAS,Otros Trastornos Emocionales Y Del Comportamiento Que Aparecen Habitualmente En La Ninez Y En La Adolescencia,MASCULINO,SUBSIDIADO,6-11,2
2024-01,DOSQUEBRADAS,Otros Trastornos Funcionales Del Intestino,FEMENINO,SUBSIDIADO,29-59,2
2024-01,DOSQUEBRADAS,Otros Trastornos Menopausicos Y Perimenopausicos,FEMENINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,"Otros Trastornos Mentales Debidos A Lesion Y Disfuncion Cerebral, Y A Enfermedad Fisica",FEMENINO,SUBSIDIADO,29-59,3
2024-01,DOSQUEBRADAS,"Otros Trastornos Mentales Debidos A Lesion Y Disfuncion Cerebral, Y A Enfermedad Fisica",FEMENINO,SUBSIDIADO,60+,3
2024-01,DOSQUEBRADAS,"Otros Trastornos Mentales Debidos A Lesion Y Disfuncion Cerebral, Y A Enfermedad Fisica",MASCULINO,SUBSIDIADO,18-28,2
2024-01,DOSQUEBRADAS,"Otros Trastornos Mentales Debidos A Lesion Y Disfuncion Cerebral, Y A Enfermedad Fisica",MASCULINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,"Otros Trastornos Mentales Debidos A Lesion Y Disfuncion Cerebral, Y A Enfermedad Fisica",MASCULINO,SUBSIDIADO,60+,1
2024-01,DOSQUEBRADAS,Problemas Relacionados Con Dificultades Con El Modo De Vida,FEMENINO,SUBSIDIADO,12-17,1
2024-01,DOSQUEBRADAS,Problemas Relacionados Con Dificultades Con El Modo De Vida,FEMENINO,VINCULADO,12-17,1
2024-01,DOSQUEBRADAS,Problemas Relacionados Con El Ambiente Social,FEMENINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,Problemas Relacionados Con El Ambiente Social,FEMENINO,SUBSIDIADO,6-11,2
2024-01,DOSQUEBRADAS,Problemas Relacionados Con El Ambiente Social,MASCULINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,Problemas Relacionados Con El Empleo Y El Desempleo,MASCULINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,"Problemas Relacionados Con El Grupo Primario De Apoyo, Inclusive Circunstancias Familiares",FEMENINO,SUBSIDIADO,29-59,1
